Order_ID,Customer_Name,Product,Manufacturing_Plant,Export_Country,Import_Country,Shipping_Mode,Order_Date,Ship_Date,Quantity,Unit_Price,Cost,Revenue,Profit
63,Customer_325,Pharma Drugs,Plant B,Germany,USA,Air,2024-01-06,2024-01-31,207,115.29,19480.9,23865.5,4384.6
64,Customer_3,Steel Sheets,Plant C,USA,USA,Air,2024-01-24,2024-02-17,289,305.16,70628.86,88192.48,17563.62
65,Customer_215,Auto Parts,Plant A,China,France,Sea,2024-04-26,2024-05-04,409,421.02,131681.61,172198.16,40516.55
66,Customer_271,Electronics,Plant A,China,USA,Road,2023-06-19,2023-07-08,297,378.19,80655.75,112321.61,31665.86
67,Customer_362,Steel Sheets,Plant A,China,France,Air,2023-12-20,2024-01-10,366,136.97,36142.17,50130.86,13988.7
68,Customer_470,Electronics,Plant B,USA,Australia,Road,2023-04-28,2023-05-17,312,327.29,63222.91,102113.6,38890.69
69,Customer_268,Pharma Drugs,Plant A,China,USA,Road,2024-04-02,2024-04-07,96,493.09,38314.99,47337.11,9022.12
70,Customer_194,Steel Sheets,Plant B,Germany,UAE,Sea,2023-06-05,2023-06-11,186,118.43,15031.7,22028.64,6996.95
71,Customer_388,Auto Parts,Plant A,India,France,Air,2023-05-09,2023-05-20,28,440.24,8774.49,12326.76,3552.26
72,Customer_53,Pharma Drugs,Plant C,India,USA,Road,2023-11-13,2023-12-02,293,429.95,103863.38,125974.03,22110.64
73,Customer_101,Steel Sheets,Plant B,Vietnam,UK,Road,2023-05-16,2023-05-29,468,58.74,19768.89,27491.98,7723.09
74,Customer_460,Steel Sheets,Plant B,USA,USA,Air,2024-01-30,2024-02-25,395,394.19,112897.05,155706.15,42809.1
75,Customer_200,Pharma Drugs,Plant B,USA,UAE,Air,2023-08-06,2023-08-27,230,183.42,28413.23,42186.91,13773.68
76,Customer_156,Auto Parts,Plant B,Germany,UAE,Air,2023-02-08,2023-02-20,43,302.54,10303.43,13009.16,2705.73
77,Customer_478,Textiles,Plant C,USA,France,Air,2023-06-07,2023-06-30,212,165.19,27780.38,35020.16,7239.78
78,Customer_165,Textiles,Plant C,China,USA,Road,2023-05-09,2023-05-16,185,283.79,43557.92,52501.28,8943.37
79,Customer_383,Electronics,Plant B,China,France,Road,2023-03-02,2023-03-10,73,250.61,14048.57,18294.74,4246.17
80,Customer_334,Steel Sheets,Plant B,Vietnam,UAE,Sea,2023-08-21,2023-09-13,367,35.97,9046.4,13201.1,4154.7
81,Customer_428,Steel Sheets,Plant C,India,UAE,Air,2023-03-31,2023-04-02,315,256.17,60222.46,80693.44,20470.98
82,Customer_198,Steel Sheets,Plant C,India,UK,Sea,2023-08-31,2023-09-19,411,151.63,47159.84,62319.28,15159.44
83,Customer_260,Auto Parts,Plant C,USA,UAE,Road,2023-08-05,2023-08-09,10,26.78,169.44,267.79,98.34
84,Customer_309,Auto Parts,Plant C,India,USA,Road,2024-02-03,2024-02-27,126,114.51,9020.02,14427.68,5407.66
85,Customer_72,Auto Parts,Plant A,India,UK,Air,2024-02-04,2024-03-02,428,193.99,58723.71,83027.96,24304.25
86,Customer_121,Textiles,Plant C,USA,UK,Sea,2023-09-26,2023-09-30,163,354.7,47333.65,57816.13,10482.48
87,Customer_376,Textiles,Plant B,Vietnam,UK,Road,2023-02-27,2023-03-01,273,134.77,25692.54,36792.0,11099.46
88,Customer_134,Textiles,Plant B,USA,France,Road,2023-12-11,2023-12-19,235,481.38,72609.73,113124.97,40515.24
89,Customer_248,Textiles,Plant B,China,UAE,Road,2023-09-08,2023-09-12,26,397.57,8307.24,10336.75,2029.51
90,Customer_250,Pharma Drugs,Plant C,India,Australia,Road,2023-06-12,2023-07-04,378,123.97,29670.81,46861.95,17191.13
91,Customer_234,Steel Sheets,Plant A,Vietnam,Australia,Air,2023-08-15,2023-08-30,388,373.9,107055.62,145074.68,38019.07
92,Customer_274,Auto Parts,Plant B,India,UK,Road,2023-07-26,2023-08-03,210,35.4,5549.39,7435.04,1885.66
93,Customer_14,Steel Sheets,Plant A,Vietnam,France,Sea,2023-06-15,2023-07-09,239,324.79,50847.8,77623.82,26776.03
94,Customer_258,Steel Sheets,Plant B,Vietnam,USA,Air,2023-10-30,2023-11-08,346,436.24,111189.76,150939.28,39749.52
95,Customer_210,Textiles,Plant C,Germany,France,Road,2023-09-18,2023-10-16,360,384.2,101097.49,138310.22,37212.74
96,Customer_6,Steel Sheets,Plant B,China,USA,Air,2023-02-28,2023-03-02,278,198.15,38500.15,55086.48,16586.33
97,Customer_283,Auto Parts,Plant C,India,UK,Road,2023-01-25,2023-02-13,341,420.28,102764.52,143316.69,40552.17
98,Customer_315,Steel Sheets,Plant B,China,USA,Sea,2023-06-27,2023-07-08,166,119.32,14379.16,19806.95,5427.79
99,Customer_22,Pharma Drugs,Plant A,China,UK,Road,2023-04-28,2023-05-23,68,329.01,18140.94,22372.39,4231.45
100,Customer_333,Electronics,Plant C,India,Australia,Road,2023-10-11,2023-10-19,344,105.95,30481.06,36445.33,5964.27
101,Customer_455,Electronics,Plant B,Germany,UK,Road,2024-01-31,2024-02-07,439,454.98,158489.45,199737.4,41247.96
102,Customer_167,Steel Sheets,Plant C,Vietnam,UAE,Sea,2024-04-21,2024-05-19,486,193.3,74748.29,93942.75,19194.46
103,Customer_131,Pharma Drugs,Plant B,USA,USA,Sea,2023-06-15,2023-06-29,66,364.65,17263.32,24067.22,6803.9
104,Customer_435,Pharma Drugs,Plant A,China,UK,Road,2023-12-31,2024-01-19,344,493.68,127345.7,169825.42,42479.72
105,Customer_61,Electronics,Plant C,USA,USA,Air,2024-06-10,2024-06-13,227,167.34,23205.71,37985.53,14779.82
106,Customer_108,Pharma Drugs,Plant A,USA,UK,Air,2023-06-19,2023-07-11,242,161.25,26289.98,39022.36,12732.38
107,Customer_101,Auto Parts,Plant C,China,UAE,Road,2024-05-03,2024-05-15,470,346.18,111815.92,162706.92,50891.0
108,Customer_324,Auto Parts,Plant A,China,France,Sea,2024-05-19,2024-05-26,188,322.87,44223.05,60699.67,16476.62
109,Customer_367,Pharma Drugs,Plant C,Germany,UAE,Air,2024-04-30,2024-05-15,248,265.27,51029.28,65787.79,14758.5
110,Customer_176,Electronics,Plant B,India,Australia,Sea,2023-03-06,2023-03-09,361,360.61,101162.29,130180.18,29017.89
111,Customer_375,Auto Parts,Plant C,Vietnam,France,Air,2023-06-06,2023-06-24,32,464.53,11952.19,14864.84,2912.64
112,Customer_110,Auto Parts,Plant B,USA,USA,Sea,2024-05-18,2024-06-02,217,294.56,50279.3,63918.81,13639.51
113,Customer_328,Electronics,Plant A,China,UK,Road,2024-03-26,2024-04-23,354,414.86,90345.32,146861.89,56516.57
114,Customer_107,Steel Sheets,Plant A,China,UK,Road,2023-04-04,2023-04-07,365,494.92,135921.72,180646.18,44724.46
115,Customer_67,Textiles,Plant B,Germany,UK,Sea,2023-03-02,2023-03-05,286,400.85,69389.74,114643.25,45253.5
116,Customer_225,Pharma Drugs,Plant B,India,France,Air,2023-04-27,2023-05-08,278,393.56,92404.3,109409.95,17005.65
117,Customer_9,Steel Sheets,Plant B,USA,France,Road,2024-02-23,2024-03-14,248,138.63,28680.89,34380.01,5699.12
118,Customer_430,Auto Parts,Plant C,Germany,USA,Road,2023-06-17,2023-07-03,175,479.34,56149.68,83885.09,27735.41
119,Customer_316,Auto Parts,Plant C,Germany,France,Air,2023-10-28,2023-11-12,467,52.84,16641.88,24676.12,8034.24
120,Customer_198,Auto Parts,Plant C,Germany,France,Sea,2023-09-20,2023-10-14,186,184.74,26126.2,34361.34,8235.14
121,Customer_157,Textiles,Plant B,Germany,France,Air,2023-09-07,2023-10-02,281,465.46,110312.98,130793.63,20480.65
122,Customer_313,Steel Sheets,Plant C,USA,Australia,Air,2023-06-06,2023-06-22,378,149.62,37828.34,56557.31,18728.97
123,Customer_320,Auto Parts,Plant A,Germany,France,Road,2024-01-12,2024-01-22,407,306.64,100616.01,124800.72,24184.7
124,Customer_332,Electronics,Plant B,Vietnam,France,Sea,2024-04-14,2024-04-27,117,48.65,3793.96,5691.57,1897.6
125,Customer_182,Auto Parts,Plant C,India,UAE,Sea,2023-06-19,2023-07-16,62,433.59,18421.03,26882.77,8461.74
126,Customer_322,Steel Sheets,Plant C,USA,UAE,Sea,2024-04-05,2024-05-04,198,295.1,36040.63,58429.13,22388.5
127,Customer_444,Steel Sheets,Plant C,China,France,Road,2023-12-01,2023-12-06,334,161.42,39789.43,53915.61,14126.19
128,Customer_89,Auto Parts,Plant A,Germany,France,Road,2023-10-29,2023-11-09,51,225.11,7826.01,11480.74,3654.73
129,Customer_177,Pharma Drugs,Plant A,Germany,UAE,Road,2024-06-20,2024-07-02,496,313.58,119229.64,155533.81,36304.18
130,Customer_438,Auto Parts,Plant B,China,France,Sea,2024-01-24,2024-02-21,470,423.59,155088.34,199088.97,44000.62
131,Customer_499,Steel Sheets,Plant B,India,UK,Sea,2023-11-20,2023-12-20,458,151.85,46582.09,69546.76,22964.67
132,Customer_12,Pharma Drugs,Plant A,Germany,France,Air,2023-09-23,2023-10-01,20,138.5,1780.32,2770.03,989.71
133,Customer_72,Auto Parts,Plant B,China,Australia,Sea,2023-07-23,2023-07-28,419,163.96,50222.16,68699.48,18477.32
134,Customer_402,Steel Sheets,Plant A,Germany,USA,Air,2023-12-04,2023-12-27,483,160.55,65833.4,77545.25,11711.84
135,Customer_358,Textiles,Plant A,USA,USA,Air,2024-02-08,2024-03-03,107,93.19,7479.86,9971.85,2491.99
136,Customer_97,Textiles,Plant A,China,Australia,Road,2023-10-16,2023-11-11,209,255.6,43966.0,53420.54,9454.54
137,Customer_228,Electronics,Plant B,Germany,UAE,Sea,2024-01-18,2024-02-02,341,125.75,30584.81,42882.04,12297.23
138,Customer_398,Steel Sheets,Plant A,Vietnam,France,Road,2023-04-04,2023-04-10,385,448.33,124504.33,172606.6,48102.27
139,Customer_487,Auto Parts,Plant C,China,USA,Road,2024-02-13,2024-03-06,58,382.79,18820.47,22201.83,3381.36
140,Customer_229,Textiles,Plant B,China,UK,Air,2023-05-06,2023-05-24,406,440.93,118868.72,179018.04,60149.32
141,Customer_282,Pharma Drugs,Plant A,Vietnam,France,Sea,2023-01-24,2023-02-09,497,400.1,120151.53,198849.33,78697.8
142,Customer_325,Auto Parts,Plant A,USA,France,Road,2023-06-28,2023-07-20,58,426.81,19741.36,24755.11,5013.75
143,Customer_486,Pharma Drugs,Plant A,USA,France,Air,2023-10-15,2023-10-17,498,135.37,40855.27,67415.88,26560.61
144,Customer_306,Auto Parts,Plant A,India,Australia,Air,2024-02-09,2024-02-16,405,426.29,104643.98,172648.93,68004.96
145,Customer_381,Steel Sheets,Plant A,Germany,Australia,Air,2023-07-07,2023-07-27,231,345.01,52581.78,79697.68,27115.9
146,Customer_258,Pharma Drugs,Plant B,Germany,Australia,Air,2024-03-09,2024-03-20,15,33.17,374.79,497.61,122.83
147,Customer_205,Pharma Drugs,Plant B,USA,France,Air,2024-03-16,2024-03-25,227,21.97,3112.06,4987.03,1874.96
148,Customer_188,Electronics,Plant A,Germany,UK,Air,2024-05-06,2024-05-08,113,411.32,28747.26,46479.23,17731.97
149,Customer_64,Electronics,Plant A,India,Australia,Air,2023-10-23,2023-11-14,113,188.17,13222.91,21263.66,8040.75
150,Customer_464,Pharma Drugs,Plant A,Vietnam,UK,Road,2023-11-13,2023-11-30,494,186.52,62485.03,92141.11,29656.07
151,Customer_187,Textiles,Plant B,Vietnam,France,Sea,2023-01-30,2023-02-03,440,125.66,45110.54,55291.33,10180.79
152,Customer_451,Pharma Drugs,Plant C,Vietnam,USA,Sea,2023-09-30,2023-10-10,37,157.74,4169.0,5836.26,1667.27
153,Customer_293,Textiles,Plant B,India,France,Road,2023-09-24,2023-10-07,407,184.52,63774.37,75099.55,11325.18
154,Customer_438,Steel Sheets,Plant C,Vietnam,Australia,Road,2023-01-26,2023-02-25,239,320.6,51309.12,76623.52,25314.4
155,Customer_488,Steel Sheets,Plant B,India,UK,Air,2023-09-07,2023-09-25,405,56.02,17083.33,22689.65,5606.32
156,Customer_197,Electronics,Plant C,China,UK,Sea,2023-04-23,2023-05-16,154,41.56,4987.14,6401.01,1413.87
157,Customer_109,Pharma Drugs,Plant B,India,USA,Road,2023-05-14,2023-05-29,307,102.09,24958.83,31342.47,6383.64
158,Customer_46,Auto Parts,Plant B,China,France,Sea,2023-02-08,2023-02-21,375,354.68,86258.03,133006.02,46747.99
159,Customer_242,Textiles,Plant C,Germany,USA,Road,2023-12-07,2023-12-24,236,207.66,33759.37,49006.6,15247.23
160,Customer_116,Electronics,Plant C,Germany,UK,Air,2023-05-17,2023-06-03,438,232.75,85596.48,101945.24,16348.77
161,Customer_460,Pharma Drugs,Plant A,Germany,UK,Air,2023-04-04,2023-05-03,19,275.01,3194.34,5225.13,2030.79
162,Customer_359,Steel Sheets,Plant B,USA,France,Air,2024-05-27,2024-06-14,168,286.82,32802.21,48186.37,15384.16
163,Customer_356,Steel Sheets,Plant C,USA,UK,Road,2023-01-09,2023-02-02,137,55.21,6226.02,7564.25,1338.23
164,Customer_272,Electronics,Plant A,USA,UK,Sea,2023-04-30,2023-05-21,489,254.87,90910.31,124631.95,33721.64
165,Customer_40,Electronics,Plant C,Vietnam,Australia,Road,2023-12-03,2023-12-26,421,362.81,99539.96,152743.39,53203.42
166,Customer_4,Electronics,Plant C,Germany,USA,Air,2023-03-10,2023-03-13,456,389.49,110585.66,177608.52,67022.86
167,Customer_50,Pharma Drugs,Plant A,Germany,USA,Sea,2024-02-20,2024-02-26,390,344.96,82564.21,134532.91,51968.7
168,Customer_199,Steel Sheets,Plant C,USA,UAE,Sea,2024-01-21,2024-02-17,356,499.22,114314.51,177722.17,63407.66
169,Customer_428,Auto Parts,Plant C,Germany,UK,Air,2023-11-27,2023-12-17,35,62.54,1579.68,2189.06,609.38
170,Customer_221,Electronics,Plant C,USA,UAE,Sea,2024-04-08,2024-04-19,47,460.7,16180.14,21652.72,5472.58
171,Customer_20,Textiles,Plant C,China,Australia,Sea,2024-02-16,2024-02-19,399,463.7,121596.8,185014.54,63417.74
172,Customer_5,Electronics,Plant C,China,UAE,Sea,2023-12-11,2023-12-24,79,224.97,14174.56,17772.37,3597.81
173,Customer_218,Steel Sheets,Plant A,China,UK,Road,2023-07-23,2023-07-25,269,426.74,95880.86,114794.31,18913.45
174,Customer_283,Steel Sheets,Plant B,Vietnam,France,Air,2024-02-11,2024-03-07,179,24.92,3178.5,4460.93,1282.42
175,Customer_217,Steel Sheets,Plant C,Vietnam,Australia,Air,2024-03-03,2024-03-07,319,320.9,73075.86,102366.17,29290.31
176,Customer_487,Steel Sheets,Plant C,China,UK,Air,2024-01-12,2024-01-17,459,85.89,29322.91,39422.26,10099.35
177,Customer_242,Textiles,Plant B,China,Australia,Air,2023-06-08,2023-06-10,22,462.11,8576.37,10166.45,1590.08
178,Customer_85,Pharma Drugs,Plant C,India,UK,Air,2023-01-14,2023-02-10,62,221.46,9673.76,13730.81,4057.05
179,Customer_36,Steel Sheets,Plant A,China,Australia,Air,2023-11-24,2023-12-10,179,366.33,44002.22,65572.57,21570.35
180,Customer_236,Auto Parts,Plant A,USA,USA,Road,2024-01-25,2024-02-23,57,400.57,18484.5,22832.68,4348.18
181,Customer_270,Textiles,Plant C,India,UAE,Road,2023-02-25,2023-03-17,157,200.96,26232.47,31550.52,5318.05
182,Customer_336,Textiles,Plant B,Germany,UAE,Sea,2024-02-19,2024-03-19,442,315.72,113804.85,139549.16,25744.32
183,Customer_397,Auto Parts,Plant A,Germany,UK,Air,2024-03-05,2024-03-28,91,484.91,32734.3,44126.95,11392.65
184,Customer_80,Textiles,Plant C,USA,Australia,Sea,2023-02-06,2023-02-17,302,163.79,32437.8,49463.4,17025.6
185,Customer_44,Auto Parts,Plant B,Vietnam,UK,Sea,2023-07-08,2023-07-18,254,77.4,13491.54,19659.27,6167.72
186,Customer_437,Textiles,Plant A,China,UAE,Air,2023-05-26,2023-05-30,244,208.72,31609.51,50928.8,19319.29
187,Customer_386,Pharma Drugs,Plant B,China,USA,Sea,2023-09-15,2023-10-07,235,491.31,85027.77,115456.81,30429.04
188,Customer_490,Textiles,Plant C,India,UK,Road,2024-01-06,2024-01-18,266,359.0,61513.32,95495.28,33981.96
189,Customer_180,Auto Parts,Plant B,USA,Australia,Sea,2023-02-04,2023-03-06,116,166.82,12356.0,19350.92,6994.91
190,Customer_279,Electronics,Plant B,USA,UAE,Air,2023-08-17,2023-08-24,141,140.52,16015.24,19813.97,3798.72
191,Customer_500,Pharma Drugs,Plant C,USA,Australia,Sea,2023-11-07,2023-11-29,68,70.63,2912.38,4802.69,1890.31
192,Customer_15,Pharma Drugs,Plant B,Germany,USA,Sea,2023-11-25,2023-12-23,489,450.06,135915.91,220078.99,84163.08
193,Customer_3,Steel Sheets,Plant C,Germany,UK,Road,2023-05-18,2023-06-12,423,254.74,72280.12,107756.01,35475.89
194,Customer_96,Auto Parts,Plant B,Vietnam,France,Road,2023-08-05,2023-08-12,275,246.6,47964.35,67815.7,19851.36
195,Customer_174,Auto Parts,Plant B,Vietnam,UK,Air,2023-08-31,2023-09-11,122,398.53,36405.07,48620.69,12215.62
196,Customer_414,Pharma Drugs,Plant C,India,UK,Sea,2023-06-24,2023-07-12,142,113.55,13028.66,16124.24,3095.57
197,Customer_232,Textiles,Plant A,India,UK,Sea,2023-01-22,2023-02-21,98,219.99,14741.39,21558.53,6817.14
198,Customer_293,Auto Parts,Plant A,China,France,Air,2023-07-15,2023-08-12,302,39.35,9657.34,11884.3,2226.96
199,Customer_433,Steel Sheets,Plant B,Vietnam,USA,Road,2023-05-21,2023-06-14,157,85.68,11377.51,13452.51,2075.0
200,Customer_256,Textiles,Plant A,Germany,Australia,Road,2024-03-06,2024-03-28,482,390.99,149628.88,188457.36,38828.48
201,Customer_220,Auto Parts,Plant A,India,Australia,Road,2024-04-12,2024-04-30,233,194.18,33702.94,45243.08,11540.13
202,Customer_122,Pharma Drugs,Plant B,China,UK,Sea,2023-10-22,2023-11-10,137,341.1,30273.15,46731.34,16458.19
203,Customer_386,Electronics,Plant B,China,USA,Sea,2023-05-26,2023-06-25,285,261.46,60241.73,74514.79,14273.06
204,Customer_110,Electronics,Plant B,Germany,UAE,Air,2024-01-28,2024-01-31,90,208.69,14757.07,18782.07,4025.01
205,Customer_385,Auto Parts,Plant B,Vietnam,USA,Road,2024-02-04,2024-02-13,410,76.6,24367.57,31405.22,7037.65
206,Customer_320,Textiles,Plant A,USA,UAE,Air,2023-12-24,2024-01-15,305,181.02,41359.79,55210.88,13851.09
207,Customer_261,Auto Parts,Plant B,China,Australia,Road,2023-03-04,2023-03-20,339,32.37,7738.54,10972.73,3234.19
208,Customer_63,Pharma Drugs,Plant A,Germany,France,Road,2023-07-06,2023-07-14,409,26.54,7866.34,10854.3,2987.97
209,Customer_184,Electronics,Plant A,Germany,UK,Sea,2024-02-25,2024-03-08,17,472.62,6648.73,8034.46,1385.72
210,Customer_281,Pharma Drugs,Plant C,USA,Australia,Sea,2023-04-24,2023-05-17,61,186.18,8224.0,11356.97,3132.98
211,Customer_393,Textiles,Plant A,China,USA,Air,2024-05-04,2024-05-08,226,231.8,44026.79,52386.5,8359.71
212,Customer_478,Steel Sheets,Plant A,USA,France,Air,2024-01-28,2024-02-04,59,454.62,18059.5,26822.69,8763.19
213,Customer_413,Textiles,Plant A,India,Australia,Air,2023-06-28,2023-07-28,305,90.95,21984.02,27741.24,5757.23
214,Customer_86,Pharma Drugs,Plant C,Germany,UAE,Air,2023-06-18,2023-06-20,223,250.75,44581.17,55916.21,11335.04
